communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumB,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,NJ,39,5320,1,11980,3.1,1.37,91.78,6.5,1.88,12.47,21.44,10.93,11.33,11980,100,75122,89.24,1.55,70.2,23.62,1.03,18.39,79584,29711,30233,13600,5725,27101,5115,22838,227,1.96,5.81,9.9,48.18,2.7,64.55,14.65,28.82,5.49,50.73,3.67,26.38,5.22,4.47,3.22,91.43,90.17,95.78,95.81,44.56,58.88,31,0.36,1277,8.69,13,20.99,30.93,0.93,1.39,2.24,3.3,85.68,1.37,4.81,4.17,2.99,3,2.84,91.46,0.39,11.06,3,64,98.37,91.01,3.12,37.5,1959,0,0.28,215900,262600,326900,111000,685,1001,1001,316,1001,23.8,21.1,14,11,0,10.66,53.72,65.29,78.09,89.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,1845.9,9.63,?,?,?,?,0,?,0,0,0,0,1,8.2,4,32.81,14,114.85,138,1132.08,16,131.26,2,16.41,41.02,1394.59
Marpletownship,PA,45,47616,1,23123,2.82,0.8,95.57,3.44,0.85,11.01,21.3,10.48,17.18,23123,100,47917,78.99,1.11,64.11,35.5,2.75,22.85,55323,20148,20191,18137,0,20074,5250,12222,885,3.98,5.61,13.72,29.89,2.43,61.96,12.26,29.28,6.39,37.64,4.23,27.99,6.45,5.42,3.11,86.91,85.33,96.82,86.46,51.14,62.43,43,0.24,1920,5.21,8.65,13.33,22.5,0.43,0.72,1.11,1.87,87.79,1.81,4.25,3.34,2.7,2.83,1.96,89.03,1.01,23.6,3,240,97.15,84.88,0,18.33,1958,0.31,0.14,136300,164200,199900,63600,467,560,672,205,627,27.6,20.7,12.5,0,0,8.3,77.17,71.27,90.22,96.12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.6,2186.7,3.84,?,?,?,?,0,?,0,0,1,4.25,5,21.26,24,102.05,57,242.37,376,1598.78,26,110.55,1,4.25,127.56,1955.95
Tigardcity,OR,?,?,1,29344,2.43,0.74,94.33,3.43,2.35,11.36,25.88,11.01,10.28,29344,100,35669,82,1.15,55.73,22.25,2.94,14.56,42112,16946,17103,16644,21606,15528,5954,8405,1389,4.75,2.8,9.09,30.13,4.01,69.8,15.95,21.52,8.79,32.48,10.1,25.78,14.76,12.55,2.95,78.54,78.85,92.37,75.72,66.08,74.19,164,0.88,1468,16.42,23.98,32.08,35.63,0.82,1.2,1.61,1.78,93.11,1.14,2.97,2.05,2.42,2.69,2.06,64.18,2.03,47.46,3,544,95.68,57.79,0.92,7.54,1976,1.55,0.12,74700,90400,112000,37300,370,428,520,150,484,24.1,21.7,11.6,16,0,5,44.77,36.6,61.26,82.85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.6,2780.9,4.37,?,?,?,?,0,?,3,8.3,6,16.6,56,154.95,14,38.74,274,758.14,1797,4972.19,136,376.3,22,60.87,218.59,6167.51
Gloversvillecity,NY,35,29443,1,16656,2.4,1.7,97.35,0.5,0.7,12.55,25.2,12.19,17.57,0,0,20580,68.15,0.24,38.95,39.48,11.71,18.33,26501,10810,10909,9984,4941,3541,2451,4391,2831,17.23,11.05,33.68,10.81,9.86,54.74,31.22,27.43,26.76,22.71,10.98,28.15,14.47,12.91,2.98,64.02,62.36,65.38,67.43,59.59,70.27,561,3.84,339,13.86,13.86,15.34,15.34,0.28,0.28,0.31,0.31,94.98,0.56,3.93,2.56,2.37,2.51,2.2,58.18,1.21,45.66,3,669,91.19,54.89,2.54,57.85,1939,7,0.87,36400,49600,66500,30100,195,250,309,114,333,28.7,20.6,14.5,0,0,2.04,88.71,56.7,90.17,96.24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.2,3217.7,3.31,?,?,?,?,0,?,0,0,10,57.86,10,57.86,33,190.93,225,1301.78,716,4142.56,47,271.93,?,?,306.64,?
Bemidjicity,MN,7,5068,1,11245,2.76,0.53,89.16,1.17,0.52,24.46,40.53,28.69,12.65,0,0,17390,69.33,0.55,42.82,32.16,11.21,14.43,24018,8483,9009,887,4425,3352,3000,1328,2855,29.99,12.15,23.06,25.28,9.08,52.44,6.89,36.54,10.94,27.8,7.51,50.66,11.64,9.73,2.98,58.59,55.2,66.51,79.17,61.22,68.94,402,4.7,196,46.94,56.12,67.86,69.9,0.82,0.98,1.18,1.22,94.64,0.39,5.23,3.11,2.35,2.55,2.12,58.13,2.94,55.64,2,333,92.45,53.57,3.9,42.64,1958,7.45,0.82,30600,43200,59500,28900,202,283,362,160,332,32.2,23.2,12.9,2,0,1.74,73.75,42.22,60.34,89.02,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.5,974.2,0.38,?,?,?,?,0,?,0,0,?,?,4,32.04,14,112.14,91,728.93,1060,8490.87,91,728.93,5,40.05,?,9988.79
Springfieldcity,MO,?,?,1,140494,2.45,2.51,95.65,0.9,0.95,18.09,32.89,20.04,13.26,140494,100,21577,75.78,1,41.15,29.31,7.12,14.09,27705,11878,12029,7382,10264,10753,7192,8104,23223,17.78,8.76,23.03,20.66,5.72,59.02,14.31,26.83,14.72,23.42,11.4,33.32,14.46,13.04,2.89,71.94,69.79,79.76,75.33,62.96,70.52,1511,1.58,2091,21.33,30.56,38.02,45.48,0.32,0.45,0.57,0.68,96.87,0.6,3.08,1.92,2.28,2.37,2.16,57.81,2.11,53.19,2,5119,91.81,55.5,2.09,26.22,1966,6.13,0.31,37700,53900,73100,35400,215,280,349,134,340,26.4,17.3,11.7,327,4,1.49,64.35,42.29,70.61,85.66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70.4,1995.7,0.97,?,?,?,?,0,?,7,4.63,77,50.98,136,90.05,449,297.29,2094,1386.46,7690,5091.64,454,300.6,134,88.72,442.95,6867.42
Norwoodtown,MA,21,50250,1,28700,2.6,1.6,96.57,1.47,1.1,11.17,27.41,12.76,14.42,28700,100,42805,79.47,0.39,47.7,30.23,5.41,17.23,50394,18193,18276,17342,21482,12639,21852,22594,1126,4.01,4.49,13.89,27.01,4.85,65.42,14.02,27.17,8.5,32.78,5.97,36.05,9.06,7.64,3.14,79.53,79.76,92.05,77.12,65.16,72.81,263,1.18,2637,11.38,16.27,23.93,27.76,1.05,1.49,2.2,2.55,89.98,0.6,5.08,3.46,2.55,2.89,2.09,64.62,1.47,47.35,3,566,95.11,56.96,1.41,34.45,1956,0.69,0.28,155100,179000,215500,60400,463,669,824,361,736,24.4,20.8,12.5,0,0,9.19,77.3,63.45,82.23,93.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.9,2643.5,9.62,?,?,?,?,0,?,0,0,4,13.53,9,30.44,54,182.66,110,372.09,288,974.19,144,487.1,17,57.5,226.63,1890.88
Andersoncity,IN,?,?,1,59459,2.45,14.2,84.87,0.4,0.63,15.31,27.93,14.78,14.6,59449,100,23221,71.6,0.67,35.74,32.58,8.81,22.59,28901,12161,12599,9820,6634,8802,7428,6187,10320,17.98,10.09,28.67,12,8.19,56.59,27,21.54,21.92,18.02,13.28,28.34,16.33,14.94,2.95,62.56,58.7,69.89,62.76,63.08,72.44,2368,4.66,517,13.15,22.82,28.24,33.08,0.11,0.2,0.25,0.29,97.43,0.28,3.85,2.55,2.36,2.42,2.27,65.29,1.9,56.3,2,2051,92.22,63.82,6.39,56.36,1954,8.42,0.49,26300,37000,52400,26100,186,253,325,139,338,26.3,15.1,12.2,21,0,0.87,73.7,54.85,85.55,91.51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,39.2,1515.3,0.7,?,?,?,?,0,?,8,13.13,34,55.79,98,160.8,128,210.02,608,997.6,2250,3691.79,125,205.1,9,14.77,439.73,4909.26
Fargocity,ND,17,25700,1,74111,2.46,0.35,97.11,1.25,0.73,16.64,35.16,20.33,8.58,74115,100,25326,83.69,2.93,47.11,19.3,4.21,10.31,34269,13554,13727,8852,5344,8011,5332,5174,9603,13.68,5.52,11.27,30.24,4.18,68.51,6.89,31.55,11.37,29.43,7.29,40.87,9.94,8.64,3,79.35,79.7,86.6,80.7,74.32,78.51,751,1.64,1474,23.68,33.58,46.68,53.93,0.47,0.67,0.93,1.07,95.21,0.43,2.59,1.54,2.32,2.77,1.91,57.42,1.67,59.32,2,1562,95.07,48.1,0.45,25.61,1971,2.66,0.19,54500,70300,93700,39200,241,321,387,146,355,25.2,20.7,12.8,125,15,1.99,58.82,40.72,67.97,81.39,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30.9,2399.3,1.41,?,?,?,?,0,?,0,0,35,43.87,16,20.05,41,51.39,425,532.66,3149,3946.71,206,258.18,8,10.03,115.31,4747.58
Wacocity,TX,?,?,1,103590,2.62,23.14,67.6,0.92,16.35,19.88,34.55,21.62,13.12,103590,100,17852,74.2,0.86,30.98,29.09,9.06,13.99,24058,10195,12126,5715,11313,5770,7320,6984,27767,28.68,13.01,31.62,17.02,8.39,51.37,15.73,29.06,16.43,24.3,11.07,38.49,14.66,12.97,3.11,61.65,54.56,68.85,61.69,60.8,69.23,3537,4.71,4793,15.54,23.08,35.32,49.82,0.72,1.07,1.63,2.31,85.72,2.51,6.7,4.1,2.45,2.47,2.44,46.82,6.14,59.96,2,5606,87.57,46.51,5.64,37.57,1960,11.74,0.33,28600,43100,67400,38800,192,281,369,177,353,29.6,19.4,13,43,4,4.63,75.59,42.33,74.05,92.12,198,183.53,187,173.33,73432,68065.1,370.9,183.5,89.32,78.28,11.11,10.61,0,21.72,13,12,60.2,78.5,1319.3,0.76,100,9315474,94.44,10,6.57,86346.3,29,26.88,141,130.69,453,419.89,1043,966.77,2397,2221.81,6121,5673.63,1070,991.8,18,16.68,1544.24,8903.93
